Author,Year,ex_f_1,ex_p_1,un_f_1,un_p_1,ex_f_2,ex_p_2,un_f_2,un_p_2
Ahmed et al.,2024,6,108,37,856,1,5,6,31
Alan & Alan,2021,53,65,28,90,3,30,1,27
Kirbac et al.,2023,6,30,5,31,1,5,0,5
Moghadasi-Boroujeni et al.,2023,13,22,5,30,1,12,0,5
Mostafa et al.,2022,29,5,165,756,1,29,27,894
Oskovi-Kaplan et al.,2021,57,401,32,307,6,452,10,329
Rajanna et al.,2023,18,924,12,930,14,928,10,932
Swaminathan et al.,2024,20,30,3,47,20,20,0,3
Tanyeri Toker et al.,2023,162,408,129,441,17,145,3,126
Yilmaz et al.,2022,14,25,6,33,2,12,1,5
